ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN1991_c0_g1_i20,TRINITY_DN1991_c0_g1_i20,0,0,78.181,33.844,16.746,94.662,0,4.572,TRINITY_DN1991_c0_g1_i20,TPST_ARATH,PF00685.28,Sulfotransferase domain   ,|0015015|0010366|0010082|0019827|0055070|0009733|0045087|0018215|0010468|1903506|2000112,|heparan sulfate proteoglycan biosynthetic process enzymatic modification|negative regulation of ethylene biosynthetic process|regulation of root meristem growth|stem cell population maintenance|copper ion homeostasis|response to auxin|innate immune response|protein phosphopantetheinylation|regulation of gene expression|regulation of nucleic acid-templated transcription|regulation of cellular macromolecule biosynthetic process,|0008146|0043565|0008270|0140096,|sulfotransferase activity|sequence-specific DNA binding|zinc ion binding|catalytic activity acting on a protein,|0016021|0005737|0097708|0031984|0012505|0043231,|integral component of membrane|cytoplasm|intracellular vesicle|organelle subcompartment|endomembrane system|intracellular membrane-bounded organelle
TRINITY_DN3033_c0_g1_i23,TRINITY_DN3033_c0_g1_i23,2496.635,3258.036,1028.186,731.864,269.066,1100.14,218.072,293.615,TRINITY_DN3033_c0_g1_i23,PIN3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0060918|0010928|0055085|0010252|0010015|0009630,|auxin-activated signaling pathway|auxin transport|regulation of auxin mediated signaling pathway|transmembrane transport|auxin homeostasis|root morphogenesis|gravitropism,|0010329,|auxin efflux transmembrane transporter activity,|0005783|0016021|0009921,|endoplasmic reticulum|integral component of membrane|auxin efflux carrier complex
TRINITY_DN497_c0_g1_i2,TRINITY_DN497_c0_g1_i2,454.39,251.978,94.493,68.061,88.879,452.151,47.144,54,TRINITY_DN497_c0_g1_i2,SAU66_ARATH,PF02519.15,Auxin responsive protein  ,|0009733|0009755|0040008|0007275,|response to auxin|hormone-mediated signaling pathway|regulation of growth|multicellular organism development,.,.,|0005730|0005886,|nucleolus|plasma membrane
TRINITY_DN3310_c0_g1_i2,TRINITY_DN3310_c0_g1_i2,86.08,88.059,266.618,1840.864,957.208,2165.821,1606.342,1714.517,TRINITY_DN3310_c0_g1_i2,IAA27_ARATH,PF02309.17,AUX/IAA family   ,|0009734|0006355|0010311|1903507|2000113,|auxin-activated signaling pathway|regulation of transcription DNA-templated|lateral root formation|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0005515|0003700,|protein binding|DNA-binding transcription factor activity,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN456_c0_g1_i1,TRINITY_DN456_c0_g1_i1,642.145,433.911,153,152.994,84,222,61,9,TRINITY_DN456_c0_g1_i1,SAU39_ORYSJ,PF02519.15,Auxin responsive protein  ,|0009733,|response to auxin,.,.,.,.
TRINITY_DN6519_c0_g1_i2,TRINITY_DN6519_c0_g1_i2,84.406,22.534,0,0,25.791,115.9,0,0,TRINITY_DN6519_c0_g1_i2,AAP6_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0046938|0015740|0010038|0015718|0006869|0018215|0006812,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|phytochelatin biosynthetic process|C4-dicarboxylate transport|response to metal ion|monocarboxylic acid transport|lipid transport|protein phosphopantetheinylation|cation transport,|0015293|0015172|0016756|0015175|0046872,|symporter activity|acidic amino acid transmembrane transporter activity|glutathione gamma-glutamylcysteinyltransferase activity|neutral amino acid transmembrane transporter activity|metal ion binding,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN1991_c0_g1_i14,TRINITY_DN1991_c0_g1_i14,68.272,27.898,0,0,0,90.33,0,0,TRINITY_DN1991_c0_g1_i14,TPST_ARATH,PF00685.28,Sulfotransferase domain   ,|0015015|0010366|0010082|0019827|0055070|0009733|0045087|0018215|0010468|1903506|2000112,|heparan sulfate proteoglycan biosynthetic process enzymatic modification|negative regulation of ethylene biosynthetic process|regulation of root meristem growth|stem cell population maintenance|copper ion homeostasis|response to auxin|innate immune response|protein phosphopantetheinylation|regulation of gene expression|regulation of nucleic acid-templated transcription|regulation of cellular macromolecule biosynthetic process,|0008146|0043565|0008270|0140096,|sulfotransferase activity|sequence-specific DNA binding|zinc ion binding|catalytic activity acting on a protein,|0016021|0005737|0097708|0031984|0012505|0043231,|integral component of membrane|cytoplasm|intracellular vesicle|organelle subcompartment|endomembrane system|intracellular membrane-bounded organelle
TRINITY_DN1503_c0_g1_i3,TRINITY_DN1503_c0_g1_i3,9.417,33.598,126.874,445.429,75.251,639.011,6.175,12.367,TRINITY_DN1503_c0_g1_i3,PILS3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0055085,|auxin-activated signaling pathway|transmembrane transport,.,.,|0016021,|integral component of membrane
TRINITY_DN5425_c0_g1_i2,TRINITY_DN5425_c0_g1_i2,285.41,175.22,69.12,44.779,42.776,237.009,51.962,139.802,TRINITY_DN5425_c0_g1_i2,NAC25_ARATH,PF02365.16,No apical meristem (NAM) protein,|0006355|1900913|0031337|0009413|0010364|0009793|0031328,|regulation of transcription DNA-templated|positive regulation of olefin biosynthetic process|positive regulation of sulfur amino acid metabolic process|response to flooding|regulation of ethylene biosynthetic process|embryo development ending in seed dormancy|positive regulation of cellular biosynthetic process,|0003677|0003700,|DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN17137_c0_g1_i7,TRINITY_DN17137_c0_g1_i7,0,0,30.136,40.883,0,0,0,0,TRINITY_DN17137_c0_g1_i7,NDK2_SPIOL,PF00334.20,Nucleoside diphosphate kinase  ,|0006228|0006183|0006241|0006165|0009585|0042542|0009734|0009411,|UTP biosynthetic process|GTP biosynthetic process|CTP biosynthetic process|nucleoside diphosphate phosphorylation|red far-red light phototransduction|response to hydrogen peroxide|auxin-activated signaling pathway|response to UV,|0004550|0005524|0046872|0005515,|nucleoside diphosphate kinase activity|ATP binding|metal ion binding|protein binding,|0009570|0009941|0009579|0005634|0016021,|chloroplast stroma|chloroplast envelope|thylakoid|nucleus|integral component of membrane
TRINITY_DN3310_c0_g1_i1,TRINITY_DN3310_c0_g1_i1,119.683,173.414,371.541,2077.912,1377.168,2696.24,1478.74,1763.097,TRINITY_DN3310_c0_g1_i1,IAA27_ARATH,PF02309.17,AUX/IAA family   ,|1901332|0009734|0006355,|negative regulation of lateral root development|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0005515,|protein binding,|0005634,|nucleus
TRINITY_DN7971_c0_g1_i12,TRINITY_DN7971_c0_g1_i12,0,0,49.205,24.048,19.787,38.338,6.819,0,TRINITY_DN7971_c0_g1_i12,ELP4_ARATH,PF05625.12,PAXNEB protein   ,|0002098|0043609|0031538|0071329|2000024|0010928|0006357|0009737|0008284|0006979|0006412|0002098|0043609|0031538|0071329|2000024|0010928|0009737|0008284|0006357|0006979,|tRNA wobble uridine modification|regulation of carbon utilization|negative regulation of anthocyanin metabolic process|cellular response to sucrose stimulus|regulation of leaf development|regulation of auxin mediated signaling pathway|regulation of transcription by RNA polymerase II|response to abscisic acid|positive regulation of cell population proliferation|response to oxidative stress|translation|tRNA wobble uridine modification|regulation of carbon utilization|negative regulation of anthocyanin metabolic process|cellular response to sucrose stimulus|regulation of leaf development|regulation of auxin mediated signaling pathway|response to abscisic acid|positive regulation of cell population proliferation|regulation of transcription by RNA polymerase II|response to oxidative stress,|0003735,|structural constituent of ribosome,|0033588|0005634|0005737|0070013|0043233|0005840|0033588|0005634|0005737|0070013|0043233,|elongator holoenzyme complex|nucleus|cytoplasm|intracellular organelle lumen|organelle lumen|ribosome|elongator holoenzyme complex|nucleus|cytoplasm|intracellular organelle lumen|organelle lumen
TRINITY_DN497_c0_g1_i5,TRINITY_DN497_c0_g1_i5,601.521,172.738,79.768,30.565,16.987,92.401,0,72,TRINITY_DN497_c0_g1_i5,SAU66_ARATH,PF02519.15,Auxin responsive protein  ,|0080086|0009926|0009734|0040008|0042255,|stamen filament development|auxin polar transport|auxin-activated signaling pathway|regulation of growth|ribosome assembly,|0005515,|protein binding,|0090406|0005634|0005886,|pollen tube|nucleus|plasma membrane
TRINITY_DN3464_c0_g1_i52,TRINITY_DN3464_c0_g1_i52,2052.799,733.188,166.679,6.014,42.094,58.862,2.398,44.816,TRINITY_DN3464_c0_g1_i52,NEK6_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0010366|0010311|0043622|0006468,|protein phosphorylation|negative regulation of ethylene biosynthetic process|lateral root formation|cortical microtubule organization|protein phosphorylation,|0004672|0005524|0004672|0005524,|protein kinase activity|ATP binding|protein kinase activity|ATP binding,|0055028|0016021,|cortical microtubule|integral component of membrane
TRINITY_DN1860_c0_g1_i15,TRINITY_DN1860_c0_g1_i15,255.996,81.224,9.656,0,0,125.835,0,37.91,TRINITY_DN1860_c0_g1_i15,ERF1_ORYSJ,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0034059|2000280|0071456,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|response to anoxia|regulation of root development|cellular response to hypoxia,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN10649_c0_g1_i20,TRINITY_DN10649_c0_g1_i20,0,0,29.36,37.305,0,49.489,0,18.706,TRINITY_DN10649_c0_g1_i20,GPA1_LOTJA,PF00503.21,G-protein alpha subunit  ,|0007188|0010476|0010244|0048584|0090333|0009845|0009787|0034260|0010027|0006952|0009742|0009749|0009738|0048639|0009785|0019236|0002764|0006571|0009094|0042127|0008219|0023056|0010647|0002684|0045088|0072593|0002376,|adenylate cyclase-modulating G protein-coupled receptor signaling pathway|gibberellin mediated signaling pathway|response to low fluence blue light stimulus by blue low-fluence system|positive regulation of response to stimulus|regulation of stomatal closure|seed germination|regulation of abscisic acid-activated signaling pathway|negative regulation of GTPase activity|thylakoid membrane organization|defense response|brassinosteroid mediated signaling pathway|response to glucose|abscisic acid-activated signaling pathway|positive regulation of developmental growth|blue light signaling pathway|response to pheromone|immune response-regulating signaling pathway|tyrosine biosynthetic process|L-phenylalanine biosynthetic process|regulation of cell population proliferation|cell death|positive regulation of signaling|positive regulation of cell communication|positive regulation of immune system process|regulation of innate immune response|reactive oxygen species metabolic process|immune system process,|0031683|0001664|0003924|0019001|0032550|0035639|0032555|0046872|0005095|0016247|0051020,|G-protein beta/gamma-subunit complex binding|G protein-coupled receptor binding|GTPase activity|guanyl nucleotide binding|purine ribonucleoside binding|purine ribonucleoside triphosphate binding|purine ribonucleotide binding|metal ion binding|GTPase inhibitor activity|channel regulator activity|GTPase binding,|1905360|0031234|0098797|0009506|0042579|0005789|0016021,|GTPase complex|extrinsic component of cytoplasmic side of plasma membrane|plasma membrane protein complex|plasmodesma|microbody|endoplasmic reticulum membrane|integral component of membrane
TRINITY_DN1645_c0_g1_i2,TRINITY_DN1645_c0_g1_i2,414.461,290.816,128.456,45.7,41,276.291,77.896,161.13,TRINITY_DN1645_c0_g1_i2,LAX11_ORYSJ,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0060919|0048829|0009624|0010311|0009958|0048764|0009926|0001736,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|auxin influx|root cap development|response to nematode|lateral root formation|positive gravitropism|trichoblast maturation|auxin polar transport|establishment of planar polarity,|0015293|0010328|0010011|0015171|0005515,|symporter activity|auxin influx transmembrane transporter activity|auxin binding|amino acid transmembrane transporter activity|protein binding,|0016021|0005886|0009986|0005768|0005794,|integral component of membrane|plasma membrane|cell surface|endosome|Golgi apparatus
TRINITY_DN4309_c0_g1_i5,TRINITY_DN4309_c0_g1_i5,68.331,58.126,198.488,196.966,169.332,1116.077,118.09,266.574,TRINITY_DN4309_c0_g1_i5,GRF7_ORYSJ,PF08879.11,WRC    ,|0032502|0006351|0006355|0009624|0019757|0016143|0061062|0009739|0009409|0032501|0008285|1901564,|developmental process|transcription DNA-templated|regulation of transcription DNA-templated|response to nematode|glycosinolate metabolic process|S-glycoside metabolic process|regulation of nematode larval development|response to gibberellin|response to cold|multicellular organismal process|negative regulation of cell population proliferation|organonitrogen compound metabolic process,|0005524|0000976|0005515,|ATP binding|transcription regulatory region sequence-specific DNA binding|protein binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN3033_c0_g1_i7,TRINITY_DN3033_c0_g1_i7,502.287,417.913,207.371,95.74,96.572,0,25.347,99.587,TRINITY_DN3033_c0_g1_i7,PIN3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0055085|0009926|0010315|0010252|0048766|0048767|0009958|0009416,|auxin-activated signaling pathway|transmembrane transport|auxin polar transport|auxin efflux|auxin homeostasis|root hair initiation|root hair elongation|positive gravitropism|response to light stimulus,|0010329,|auxin efflux transmembrane transporter activity,|0005783|0016021|0009921|0016328|0009986|0012506|0005739,|endoplasmic reticulum|integral component of membrane|auxin efflux carrier complex|lateral plasma membrane|cell surface|vesicle membrane|mitochondrion
TRINITY_DN5202_c0_g1_i16,TRINITY_DN5202_c0_g1_i16,28.226,43.293,0,0,29.915,0,44.508,0,TRINITY_DN5202_c0_g1_i16,GAT1_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0046942,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|carboxylic acid transport,|0015293|0015185,|symporter activity|gamma-aminobutyric acid transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN4109_c0_g2_i9,TRINITY_DN4109_c0_g2_i9,62.17,13.67,0,0,0,0,0,0,TRINITY_DN4109_c0_g2_i9,VIP2L_ARATH,PF18086.2,Diphosphoinositol pentakisphosphate kinase 2 N-terminal,|0016310|0032958|0006020|0016310|0032958|0006020|0009861|1904966|1905036|1900367|0120029|0050832|0036211|0044267|0016310|0032958|0006020|0009861|1904966|1905036|1900367|0120029|0050832|0036211|0044267,|phosphorylation|inositol phosphate biosynthetic process|inositol metabolic process|phosphorylation|inositol phosphate biosynthetic process|inositol metabolic process|jasmonic acid and ethylene-dependent systemic resistance|positive regulation of vitamin E biosynthetic process|positive regulation of antifungal innate immune response|positive regulation of defense response to insect|proton export across plasma membrane|defense response to fungus|protein modification process|cellular protein metabolic process|phosphorylation|inositol phosphate biosynthetic process|inositol metabolic process|jasmonic acid and ethylene-dependent systemic resistance|positive regulation of vitamin E biosynthetic process|positive regulation of antifungal innate immune response|positive regulation of defense response to insect|proton export across plasma membrane|defense response to fungus|protein modification process|cellular protein metabolic process,|0000829|0102092|0052723|0052724|0033857|0000832|0000827|0005524|0046872|0102092|0052723|0052724|0033857|0000832|0000827|0000829|0005524|0046872|0008553|0004674|0102092|0052723|0052724|0033857|0000832|0000827|0000829|0005524|0046872|0008553|0004674,|inositol heptakisphosphate kinase activity|5-diphosphoinositol pentakisphosphate 3-kinase activity|inositol hexakisphosphate 1-kinase activity|inositol hexakisphosphate 3-kinase activity|diphosphoinositol-pentakisphosphate kinase activity|inositol hexakisphosphate 5-kinase activity|inositol-13456-pentakisphosphate kinase activity|ATP binding|metal ion binding|5-diphosphoinositol pentakisphosphate 3-kinase activity|inositol hexakisphosphate 1-kinase activity|inositol hexakisphosphate 3-kinase activity|diphosphoinositol-pentakisphosphate kinase activity|inositol hexakisphosphate 5-kinase activity|inositol-13456-pentakisphosphate kinase activity|inositol heptakisphosphate kinase activity|ATP binding|metal ion binding|proton-exporting ATPase activity phosphorylative mechanism|protein serine/threonine kinase activity|5-diphosphoinositol pentakisphosphate 3-kinase activity|inositol hexakisphosphate 1-kinase activity|inositol hexakisphosphate 3-kinase activity|diphosphoinositol-pentakisphosphate kinase activity|inositol hexakisphosphate 5-kinase activity|inositol-13456-pentakisphosphate kinase activity|inositol heptakisphosphate kinase activity|ATP binding|metal ion binding|proton-exporting ATPase activity phosphorylative mechanism|protein serine/threonine kinase activity,|0005829|0016021|0005829|0005886|0009536|0016021|0005829|0005886|0016021,|cytosol|integral component of membrane|cytosol|plasma membrane|plastid|integral component of membrane|cytosol|plasma membrane|integral component of membrane
TRINITY_DN9287_c0_g1_i1,TRINITY_DN9287_c0_g1_i1,0,0,44.955,14,6,6,139,333,TRINITY_DN9287_c0_g1_i1,GH31_ARATH,PF03321.14,GH3 auxin-responsive promoter  ,|0009733|0010252,|response to auxin|auxin homeostasis,|0016881,|acid-amino acid ligase activity,|0005737,|cytoplasm
TRINITY_DN1674_c0_g1_i4,TRINITY_DN1674_c0_g1_i4,128,277.682,20.555,36.782,37.734,43.363,51.619,49.387,TRINITY_DN1674_c0_g1_i4,ERF34_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873,|regulation of transcription DNA-templated|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN1860_c0_g1_i14,TRINITY_DN1860_c0_g1_i14,35.509,15.813,155.767,70.659,52.651,181.761,26.041,117.41,TRINITY_DN1860_c0_g1_i14,ERF1_ORYSJ,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0009414|0009737|0048825|1903507|2000113|0009736|0048364,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|response to water deprivation|response to abscisic acid|cotyledon development|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process|cytokinin-activated signaling pathway|root development,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN7580_c0_g1_i3,TRINITY_DN7580_c0_g1_i3,0,0,26.112,21.682,0,0,0,0,TRINITY_DN7580_c0_g1_i3,ARFR_ORYSJ,PF06507.14,Auxin response factor  ,|0009734|0006355|0048829|0048442|0031540|0048441|0007389|0048366|0009738|0010154|0009743|0048589|0051301,|auxin-activated signaling pathway|regulation of transcription DNA-templated|root cap development|sepal development|regulation of anthocyanin biosynthetic process|petal development|pattern specification process|leaf development|abscisic acid-activated signaling pathway|fruit development|response to carbohydrate|developmental growth|cell division,|0003677|0016787,|DNA binding|hydrolase activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN6155_c0_g1_i1,TRINITY_DN6155_c0_g1_i1,58.006,69,439,116.927,99,272.13,431.996,115,TRINITY_DN6155_c0_g1_i1,ERF1_ORYSJ,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0009620,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|response to fungus,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN6145_c0_g1_i9,TRINITY_DN6145_c0_g1_i9,208.321,306.571,75.052,66.73,225.639,671.08,101.401,100.62,TRINITY_DN6145_c0_g1_i9,AP2_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873|0010093|0048481|0010073|0006952|0048316|0030154,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|specification of floral organ identity|plant ovule development|meristem maintenance|defense response|seed development|cell differentiation,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN7045_c0_g1_i1,TRINITY_DN7045_c0_g1_i1,2.4,0,27.477,33.159,6.485,14.274,0,1.572,TRINITY_DN7045_c0_g1_i1,ARFS_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355|0006457,|auxin-activated signaling pathway|regulation of transcription DNA-templated|protein folding,|0003677|0005524,|DNA binding|ATP binding,|0005634,|nucleus
TRINITY_DN5718_c0_g2_i1,TRINITY_DN5718_c0_g2_i1,11,1.419,54.798,74.875,13.339,58.665,91.05,7,TRINITY_DN5718_c0_g2_i1,Y1934_ORYSJ,PF02362.22,B3 DNA binding domain ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN3033_c0_g1_i11,TRINITY_DN3033_c0_g1_i11,2098.385,2930.781,1059.969,913.227,205.178,2070.117,245.581,245.963,TRINITY_DN3033_c0_g1_i11,PIN3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0060918|0010928|0055085|0010252|0048766|0048767|0009958|0009416,|auxin-activated signaling pathway|auxin transport|regulation of auxin mediated signaling pathway|transmembrane transport|auxin homeostasis|root hair initiation|root hair elongation|positive gravitropism|response to light stimulus,|0010329,|auxin efflux transmembrane transporter activity,|0005783|0016021|0009921|0016328|0009986|0012506,|endoplasmic reticulum|integral component of membrane|auxin efflux carrier complex|lateral plasma membrane|cell surface|vesicle membrane
